Restaurant,Rating,Reviews,Price,City,State,ZipCode,Category
Kingza,4.5,130,4,San Francisco,CA,94110,Sushi Bars
Birdsong,4.5,77,4,San Francisco,CA,94103,American (New)
Parallel 37,4.0,193,4,San Francisco,CA,94108,American (New)
Hashiri,4.5,79,4,San Francisco,CA,94103,Japanese
Doma,4.5,64,4,San Francisco,CA,94110,Japanese
Eight Tables by George Chen,5.0,50,4,San Francisco,CA,94133,Chinese
Sasaki,4.5,59,4,San Francisco,CA,94110,Sushi Bars
Nightbird,4.0,111,4,San Francisco,CA,94102,American (New)
RTB Fillmore,4.0,51,4,San Francisco,CA,94115,American (New)
Kinjo,4.0,76,4,San Francisco,CA,94109,Japanese
Jai Yun,3.5,136,4,San Francisco,CA,94133,Chinese
The Halal Guys,4.5,8982,1,New York,NY,10019,Food Stands
Los Tacos No.1,4.5,2388,1,New York,NY,10011,Tacos
Bibble & Sip,4.5,3804,1,New York,NY,10019,Coffee & Tea
Best Bagel & Coffee,4.5,2445,1,New York,NY,10001,Bagels
Prince Street Pizza,4.5,2145,1,New York,NY,10012,Pizza
Chinatown Ice Cream Factory,4.0,2535,1,New York,NY,10013,Ice Cream & Frozen Yogurt
Taiyaki NYC,4.5,2239,1,New York,NY,10013,Ice Cream & Frozen Yogurt
Dough,4.5,1653,1,Brooklyn,NY,11205,Donuts
Mamoun's Falafel,4.0,2262,1,New York,NY,10012,Middle Eastern
Wafels & Dinges,4.5,1516,1,New York,NY,10011,Belgian
Sugar Sweet Sunshine Bakery,4.0,1997,1,New York,NY,10002,Bakeries
Eileen's Special Cheesecake,4.5,1390,1,New York,NY,10012,Bakeries
Artichoke Basille's Pizza,4.0,3691,1,New York,NY,10003,Pizza
Taim West Village,4.5,1450,1,New York,NY,10014,Vegetarian
Saigon Shack,4.0,2138,1,New York,NY,10012,Sandwiches
Soft Swerve,4.5,1404,1,New York,NY,10002,Ice Cream & Frozen Yogurt
McSorleys Old Ale House,4.0,1644,1,New York,NY,10003,Dive Bars
Breakroom,4.5,1418,1,New York,NY,10013,Burgers
Sundaes and Cones,4.5,1394,1,New York,NY,10003,Ice Cream & Frozen Yogurt
Wah Fung No 1 Fast Food,4.5,1037,1,New York,NY,10002,Chinese
Ess-a-Bagel,4.0,2961,1,New York,NY,10022,Bakeries
Los Tacos No.1,4.5,806,1,New York,NY,10036,Tacos
Cheeky Sandwiches,4.5,1057,1,New York,NY,10002,Sandwiches
Joe's Pizza,4.0,2057,1,New York,NY,10014,Pizza
JoJu,4.5,1435,1,Elmhurst,NY,11373,Vietnamese
Woorijip Authentic Korean Food,4.0,2441,1,New York,NY,10001,Korean
Vanessa's Dumpling House,4.0,2328,1,New York,NY,10002,Chinese
Peter Pan Donut & Pastry Shop,4.5,1155,1,Brooklyn,NY,11222,Bakeries
"Sal, Kris, & Charlie's Deli",4.5,918,1,Astoria,NY,11105,Delis
Banh Mi Saigon,4.0,1358,1,New York,NY,10013,Vietnamese
Xi'an Famous Foods,4.0,1516,1,New York,NY,10003,Chinese
NY Pizza Suprema,4.0,1603,1,New York,NY,10001,Pizza
88 Lan Zhou Handmade Noodles,4.0,1519,1,New York,NY,10013,Chinese
Schmackary's,4.0,1695,1,New York,NY,10036,Desserts
Dough,4.0,1355,1,New York,NY,10011,Desserts
Snowdays,4.0,1087,1,New York,NY,10003,Shaved Ice
Bleecker Street Pizza,4.0,1843,1,New York,NY,10014,Pizza
Crif Dogs,4.0,2019,1,New York,NY,10009,Hot Dogs
Num Pang Kitchen,4.0,1364,1,New York,NY,10003,Cambodian
Big Gay Ice Cream Shop,4.0,1878,1,New York,NY,10009,Ice Cream & Frozen Yogurt
10Below Ice Cream,4.0,1225,1,New York,NY,10013,Ice Cream & Frozen Yogurt
Brooklyn Bagel & Coffee Company,4.0,1189,1,New York,NY,10001,Bagels
Kam Hing Coffee Shop,4.5,589,1,New York,NY,10013,Bakeries
Gaia Italian Café,4.5,899,1,New York,NY,10002,Italian
Absolute Bagels,4.5,1181,1,New York,NY,10025,Bakeries
Frisson Espresso,4.5,587,1,New York,NY,10036,Coffee & Tea
Go! Go! Curry!,4.0,1349,1,New York,NY,10018,Japanese Curry
Mamoun's Falafel,4.0,1096,1,New York,NY,10003,Middle Eastern
Los Mariscos,4.5,416,1,New York,NY,10011,Seafood
Ba Xuyen,4.5,599,1,Brooklyn,NY,11232,Vietnamese
Levain Bakery,4.5,6919,2,New York,NY,10023,Bakeries
Ippudo NY,4.0,9511,2,New York,NY,10003,Ramen
Katz's Delicatessen,4.0,9858,2,New York,NY,10002,Delis
Burger & Lobster,4.0,4510,2,New York,NY,10011,Seafood
Doughnut Plant,4.5,3054,2,New York,NY,10002,Donuts
Shake Shack,4.0,5461,2,New York,NY,10010,Burgers
Clinton Street Baking Company,4.0,4324,2,New York,NY,10002,Bakeries
Two Little Red Hens,4.5,2280,2,New York,NY,10028,Bakeries
Eataly,4.0,5071,2,New York,NY,10010,Italian
Dominique Ansel Bakery,4.0,3843,2,New York,NY,10012,Bakeries
Lombardi's Pizza,4.0,5633,2,New York,NY,10012,Pizza
Totto Ramen,4.0,4963,2,New York,NY,10019,Ramen
Juliana's Pizza,4.5,1796,2,Brooklyn,NY,11201,Pizza
Joe's Shanghai,4.0,5397,2,New York,NY,10013,Shanghainese
LoveMama,4.0,3303,2,New York,NY,10003,Thai
Amélie,4.5,2173,2,New York,NY,10011,French
Russ & Daughters,4.5,1839,2,New York,NY,10002,Bagels
