Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Sam & Gabe's,Xj8ve8_47C_1SDVN1cKIsg,4,85,3,Urbandale,IA,50322,Italian
Sam Wo Restaurant,Z_X0WvSmh9DUxBD9xhet9Q,4,834,1,San Francisco,CA,94108,Chinese
Sammy's Roumanian Steakhouse,cCWR47_Qeb611F_J8iz_ig,4,389,3,New York,NY,10002,Steakhouses
Samovar Tea - Yerba Buena Gardens,Ml0ZjPaKXYmXTyGLvkhY8A,4,2216,2,San Francisco,CA,94103,Tea Rooms
Sam's,U768gBDU8XM3_cr-yJxwvg,4,559,1,San Francisco,CA,94133,American (Traditional)
Sam's Famous Pizza,D8qF5exHyRAwb1DqAbPkaQ,3.5,70,1,New York,NY,10029,Pizza
Sam's Fine Food Egg Rolls,mXuR3Jk_k4tVdZBy5GC1KQ,4.5,68,1,Des Moines,IA,50315,Chinese
Sam's Fried Ice Cream,KxK58KNpMw9A-gnysr6I5w,4.5,194,1,New York,NY,10002,Ice Cream & Frozen Yogurt
Sam's Grill & Seafood Restaurant,rae5BYOri8Def-VVYZzpSg,3.5,335,3,San Francisco,CA,94104,Seafood
Samurai Sushi and Hibachi,gyVee-dKOKJDqtoDDJJOuA,3,98,2,West Des Moines,IA,50266,Japanese
Sanraku,cjfJOMF6hpE7bX0ESWdAEg,4,1487,2,San Francisco,CA,94109,Japanese
Sarabeth's East,oRYcCwhPRchQb-aLJ1Pv1Q,3.5,596,2,New York,NY,10128,American (Traditional)
Sarabeth's West,vJpfMVBybyEF8p_qXWs0ug,3.5,852,2,New York,NY,10024,Breakfast & Brunch
Saru Sushi Bar,6TL8udi-vy_5rH-wikMSoA,4.5,753,3,San Francisco,CA,94114,Sushi Bars
